genes,logFC,logCPM,PValue,FDR,Annotation
LOC105191303,2.262540214,2.713929909,0.000592785,0.004155734,"L-threonine 3-dehydrogenase, mitochondrial"
LOC105188798,1.197325804,5.115012991,0.000593348,0.004157381,protein zyg-11 homolog B isoform X2
LOC112590008,3.043321677,0.036083366,0.000594557,0.004163542,uncharacterized protein LOC112590008
LOC105189464,1.295550072,6.8664486,0.00059568,0.0041691,MLX-interacting protein isoform X1
LOC105181972,1.250164833,4.511384369,0.000596477,0.004172369,peroxisomal leader peptide-processing protease isoform X2
LOC105183688,-2.349538303,2.031831524,0.000598898,0.004185224,cyclic GMP-AMP synthase isoform X1
LOC105187363,1.190400514,5.178020968,0.000598976,0.004185224,protein Red
LOC105192706,2.303661001,2.774116633,0.00060008,0.004190628,uncharacterized protein LOC105192706 isoform X1
LOC105184199,1.255611534,4.235588735,0.000601597,0.004196683,coronin-7 isoform X2
LOC105192655,1.337887735,3.843190248,0.000601611,0.004196683,"glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial"
LOC105184094,1.75454469,5.706129519,0.000602034,0.004197319,golgin subfamily A member 6-like protein 7 isoform X5
LOC105182850,1.764680706,4.976700198,0.00060244,0.00419784,uncharacterized protein LOC105182850
LOC105190654,1.235694112,5.966240145,0.00060687,0.004226378,speckle-type POZ protein isoform X4
LOC105181808,1.799106678,5.804603112,0.000609624,0.004243226,astakine
LOC112588094,3.400098007,2.256685473,0.000610317,0.004245713,15-hydroxyprostaglandin dehydrogenase
LOC105185295,1.679979648,4.146334767,0.000610708,0.0042461,solute carrier family 22 member 21
LOC105192314,1.480164326,3.713390206,0.000611054,0.004246169,carboxypeptidase N subunit 2
LOC105181952,1.585157177,3.779085737,0.000611851,0.004249378,bestrophin-2 isoform X1
LOC105192518,1.378982626,3.999047331,0.000613136,0.004255967,SID1 transmembrane family member 1 isoform X1
LOC105184223,-5.269328416,-0.694184257,0.000613543,0.004256456,forkhead box protein C1
LOC105181399,5.180726289,-0.577241996,0.000614635,0.004261695,protein vein isoform X2
LOC105187198,1.304171623,6.096080877,0.000616101,0.004266307,aldose 1-epimerase isoform X1
LOC105189721,1.167819025,5.470908235,0.000616214,0.004266307,SH3 domain-containing RING finger protein 3 isoform X2
LOC105180615,1.226016955,4.25477759,0.000616312,0.004266307,popeye domain-containing protein 3 isoform X2
LOC105184975,1.239927466,3.932128602,0.000620021,0.00428964,E3 ubiquitin-protein ligase Hakai
LOC105188676,1.588113521,3.521560159,0.000626377,0.004331241,lipase 3 isoform X1
LOC105187244,1.346751334,2.996624315,0.000627107,0.004332073,REST corepressor 2
LOC105186847,1.268925128,5.384706145,0.000627182,0.004332073,uncharacterized protein LOC105186847 isoform X1
LOC105189700,1.300795496,7.442693199,0.000627937,0.004334925,uncharacterized protein LOC105189700 isoform X1
LOC112588023,3.114908941,0.395419722,0.00062895,0.004339551,protein tipE isoform X1
LOC105191445,3.31794834,1.040050452,0.000629405,0.00434032,tetraspanin-11-like isoform X1
LOC112590650,2.036157589,1.85637102,0.000629982,0.004341933,uncharacterized protein LOC112590650
LOC105184196,3.328740348,-0.091360044,0.000633423,0.004363274,neuroparsin-A
LOC105182884,2.309470946,2.710246873,0.000634717,0.004369809,uncharacterized protein LOC105182884
LOC105185014,1.191476373,4.88793483,0.000637465,0.004386338,E3 ubiquitin-protein ligase MARCH8 isoform X1
LOC105192604,1.25214826,5.465438872,0.000638024,0.004387802,probable protein phosphatase CG10417 isoform X1
LOC105180947,2.442647303,0.688976524,0.000638509,0.004388752,Meckel syndrome type 1 protein
LOC105185179,3.784713916,2.188426584,0.000640858,0.004402509,solute carrier family 41 member 3
LOC105183211,1.215531668,4.604428824,0.000643821,0.004420459,ER membrane protein complex subunit 4
LOC105187337,1.228244029,3.959200626,0.00064491,0.004425536,atypical protein kinase C isoform X2
LOC105190904,1.246960084,3.817305439,0.000646414,0.004432174,dnaJ homolog subfamily C member 5 isoform X1
LOC105190814,2.227883028,1.44853673,0.000646578,0.004432174,uncharacterized protein LOC105190814 isoform X1
LOC105182609,1.257293793,4.474183942,0.000647165,0.004433771,leucine-rich repeats and immunoglobulin-like domains protein 3 isoform X1
LOC105182897,1.247426337,3.799284313,0.000647511,0.004433771,ribosome biogenesis protein WDR12 homolog
LOC105183561,4.349038263,0.634056876,0.000648781,0.004438969,uncharacterized protein LOC105183561
LOC105182259,1.102186414,4.76161861,0.000648972,0.004438969,mitochondrial coenzyme A transporter SLC25A42
LOC105180693,1.672636607,4.843781913,0.000651314,0.004451456,uncharacterized protein LOC105180693 isoform X2
LOC105191170,1.241566529,4.701079964,0.000651501,0.004451456,"28S ribosomal protein S35, mitochondrial"
LOC105184817,2.271033675,1.271311228,0.000653811,0.004463142,retinol dehydrogenase 14 isoform X1
LOC105188118,1.260632117,5.626437766,0.000653982,0.004463142,ubiquitin carboxyl-terminal hydrolase 34
LOC105185399,1.235994784,5.890045156,0.000654558,0.004463142,CLIP-associating protein 1-A isoform X3
LOC105180894,1.13988419,4.964063667,0.000654622,0.004463142,serine/threonine-protein phosphatase 5
LOC105182075,1.931346268,1.452764038,0.000656296,0.004472141,glutathione synthetase
LOC105187168,1.164550172,4.370421969,0.00065995,0.004494625,RNA polymerase II-associated factor 1 homolog
LOC105192515,1.311197892,5.510760704,0.000660805,0.004497249,triokinase/FMN cyclase isoform X1
LOC105183449,1.168613748,4.300781551,0.000661047,0.004497249,uncharacterized protein LOC105183449
LOC105187896,1.720341489,3.308187531,0.000663946,0.004513285,SET domain-containing protein SmydA-8
LOC105190082,-3.05620475,3.555887294,0.000664117,0.004513285,protein argonaute-2 isoform X1
LOC112588367,1.866109129,10.27229001,0.000666124,0.004524497,uncharacterized protein LOC112588367
LOC105187594,2.233897427,4.521369147,0.00066821,0.004536229,transient receptor potential cation channel protein painless
LOC105189682,1.215901357,4.362256522,0.000669136,0.00454008,zinc finger CCHC-type and RNA-binding motif-containing protein 1
LOC105182848,1.160053001,4.921784136,0.000670512,0.004546978,uncharacterized protein LOC105182848 isoform X2
LOC105190115,1.486675508,6.472240807,0.000671102,0.004548543,uncharacterized protein C7orf26 homolog isoform X1
LOC105184149,1.26495105,7.049294536,0.000671764,0.00454904,uncharacterized protein LOC105184149
LOC105185988,1.256141464,6.313243117,0.000671895,0.00454904,putative mediator of RNA polymerase II transcription subunit 26 isoform X9
LOC105189714,1.356828492,6.275157789,0.000672327,0.004549534,rabankyrin-5
LOC105187595,1.254946092,5.693521696,0.000673854,0.004552048,"lon protease homolog, mitochondrial"
LOC105191048,1.371622702,8.103825873,0.000673913,0.004552048,histone deacetylase 5 isoform X7
LOC105191280,1.151429497,4.84496737,0.000673939,0.004552048,ubiquitin-conjugating enzyme E2 variant 2
LOC105181587,-7.025474615,0.4169494,0.000674138,0.004552048,venom acid phosphatase Acph-1 isoform X1
LOC105191990,1.443821921,6.328481698,0.000675321,0.004557604,neurochondrin homolog
LOC105187667,1.468692113,10.26194564,0.000676399,0.004562448,glycine-rich cell wall structural protein
LOC105188627,1.688600335,5.774930221,0.000679201,0.004578906,serine/threonine-protein kinase N isoform X3
LOC105182921,1.931677465,1.410717371,0.000680603,0.004584109,"dynein heavy chain 7, axonemal"
LOC105192023,1.219065819,5.610208001,0.000680697,0.004584109,protein Lilipod
LOC105182310,1.35615257,7.101860181,0.000683,0.004593247,uncharacterized protein LOC105182310
LOC105184593,1.38441274,4.45526175,0.0006832,0.004593247,F-box/WD repeat-containing protein 5
LOC105186081,2.461036657,0.944591936,0.000683294,0.004593247,uncharacterized protein LOC105186081 isoform X1
LOC105192042,3.342630961,2.811272755,0.000683506,0.004593247,uncharacterized protein LOC105192042
LOC105181238,2.152873841,1.298347781,0.000685409,0.004603589,paired box pox-neuro protein
LOC105181289,1.441476251,4.440827192,0.000686478,0.004607835,sorting nexin-4
LOC105188903,2.372564408,1.744773292,0.00068694,0.004607835,homeobox protein abdominal-B isoform X2
LOC112589245,1.602767697,2.832182633,0.000687133,0.004607835,uncharacterized protein LOC112589245 isoform X1
LOC105191093,1.261583551,4.604792752,0.000690487,0.004627874,ankyrin repeat and zinc finger domain-containing protein 1
LOC105190764,1.289571734,4.3599296,0.00069194,0.004633292,chondroitin sulfate synthase 2
LOC105183597,2.017334172,1.841999421,0.000692144,0.004633292,mucin-5AC
LOC105186449,1.338215257,9.291568194,0.000692394,0.004633292,eukaryotic translation initiation factor 4 gamma 1 isoform X1
LOC105184324,2.534483588,0.995687506,0.000692961,0.004634634,pupal cuticle protein 20
LOC105189266,1.463328537,5.810768387,0.000693874,0.004638289,phosphatase and actin regulator 4 isoform X6
LOC105189637,2.902614954,2.408906095,0.000695051,0.004643704,uncharacterized protein LOC105189637
LOC105187128,1.272689558,4.022995287,0.000696528,0.004650888,uncharacterized protein LOC105187128
LOC105190740,1.272187286,3.842975107,0.000696861,0.004650888,solute carrier family 17 member 9
LOC105184321,1.68565582,2.667474959,0.000698304,0.004658057,uncharacterized protein LOC105184321
LOC105183515,1.264473769,4.403762785,0.00069955,0.004663914,uncharacterized protein LOC105183515
LOC105192533,3.300020399,4.980502378,0.000700259,0.004666183,scavenger receptor class B member 1
LOC105190077,1.317452449,5.958255632,0.000701656,0.004673029,heterogeneous nuclear ribonucleoprotein U
LOC105182731,1.35043027,3.228433942,0.000704429,0.004689026,DNA ligase 3
LOC105186219,1.749139973,3.064112154,0.00070514,0.00469026,"bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial"
LOC105183288,1.154969772,4.094722274,0.000705355,0.00469026,protein YIPF5
LOC105184283,1.321079588,5.931040357,0.000707268,0.0046998,actin-binding LIM protein 2 isoform X6
LOC105188450,1.281588365,5.761268362,0.000707533,0.0046998,lethal(2) giant larvae protein homolog 1 isoform X1
LOC105188061,1.2770689,7.12079725,0.000710685,0.004718259,nodal modulator 3 isoform X1
LOC105184576,1.245925845,6.904974463,0.000711064,0.004718301,protein lap4 isoform X1
LOC105183272,1.298356682,8.084139436,0.000713354,0.004731019,zinc finger protein 271-like isoform X8
LOC105185451,1.251635672,4.718231563,0.000716056,0.004746451,FUN14 domain-containing protein 1 isoform X1
LOC105190566,1.324419765,4.568069117,0.000716991,0.004750162,TBC1 domain family member 23
LOC105181682,1.430354944,3.321492964,0.000717623,0.004751859,protein groucho isoform X11
LOC105183257,4.973445428,-0.688767812,0.000718587,0.004755756,dopamine receptor 2
LOC105187895,1.12004294,4.97201016,0.000719013,0.004756087,polycomb group protein Pc isoform X2
LOC105191569,1.87333101,5.501200041,0.000720237,0.004761695,epidermal growth factor receptor isoform X2
LOC105181064,1.269755387,6.547738328,0.00072294,0.004777066,apoptotic chromatin condensation inducer in the nucleus isoform X2
LOC105186119,1.263933008,6.721432334,0.000724537,0.004784042,phosphatidylinositol 5-phosphate 4-kinase type-2 alpha isoform X1
LOC105183621,1.18421584,4.557765641,0.000724752,0.004784042,translocation protein SEC62
LOC105188858,-6.627490122,0.138877247,0.000726238,0.004791104,zinc finger Y-chromosomal protein
LOC105191068,1.263321595,8.789174211,0.000726579,0.004791104,probable phospholipid hydroperoxide glutathione peroxidase isoform X1
LOC105182878,1.221672889,5.533724688,0.000729187,0.004805795,nicastrin
LOC105181130,1.801809025,2.395230748,0.000731646,0.004819497,"LOW QUALITY PROTEIN: proline-, glutamic acid- and leucine-rich protein 1"
LOC105184102,2.40227958,7.491771972,0.00073251,0.004822672,muscle LIM protein Mlp84B isoform X3
LOC105187308,2.627639652,2.878887796,0.000733195,0.004824672,carboxypeptidase M isoform X1
LOC105182908,1.676169409,2.143184684,0.000734617,0.004831517,histone H2B
LOC105190824,2.499965207,1.084595027,0.000735893,0.004837395,odorant receptor 67c-like isoform X1
LOC105182593,1.453959581,8.115383251,0.00073794,0.004847819,uncharacterized protein DDB_G0271670 isoform X1
LOC105189404,2.338368407,5.160650325,0.000738245,0.004847819,zinc transporter foi isoform X1
LOC105182409,1.552226511,10.53003391,0.000739377,0.00485274,cytochrome P450 4g15
LOC105183239,1.292621741,6.749609392,0.000740889,0.004859178,annexin B9
LOC105189590,-5.397150311,0.863796801,0.000741126,0.004859178,uncharacterized protein LOC105189590
LOC105191187,1.145901585,5.131088468,0.000742177,0.004863549,uncharacterized protein LOC105191187 isoform X1
LOC105184446,1.231766615,7.033520709,0.000744417,0.0048741,histone H3.3
LOC105182920,2.16711026,8.498670362,0.000744558,0.0048741,tropomyosin isoform X7
LOC105189500,1.233999769,6.361904722,0.000746777,0.004886102,E3 ubiquitin-protein ligase MARCH5 isoform X2
LOC105190804,1.200332609,5.532912402,0.000747359,0.00488738,tau-tubulin kinase homolog Asator isoform X1
LOC105187260,1.143922111,4.893417324,0.000748555,0.004892672,structural maintenance of chromosomes protein 3 isoform X1
LOC105189275,2.228980655,2.251099352,0.000749444,0.004895956,5-hydroxytryptamine receptor 2B isoform X1
LOC105188526,1.73389523,3.246871779,0.000751789,0.00490874,proteolipid protein DM beta isoform X2
LOC105188754,3.214479698,7.970700509,0.000752651,0.004911836,"actin-5, muscle-specific"
LOC105184137,1.231808657,6.144452023,0.000754789,0.004923246,transmembrane and ubiquitin-like domain-containing protein 1
LOC105192681,4.225056736,1.134533959,0.00075747,0.004936406,nose resistant to fluoxetine protein 6-like isoform X1
LOC105192025,1.245287828,4.904091065,0.000757587,0.004936406,low-density lipoprotein receptor-related protein 6 isoform X1
LOC105190399,2.224095469,1.292407211,0.000758669,0.004939924,carboxypeptidase N subunit 2
LOC105180716,-5.386980958,0.291962902,0.00075927,0.004939924,uncharacterized protein LOC105180716
LOC105191200,1.2140858,6.005730788,0.000759298,0.004939924,nicotinate phosphoribosyltransferase isoform X2
LOC109504723,4.359452062,1.496161152,0.000761246,0.004950057,uncharacterized protein LOC109504723
LOC105191565,2.278635486,9.663102756,0.000761851,0.004950568,"paramyosin, long form"
LOC105184071,1.166705795,4.91686925,0.000762107,0.004950568,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A isoform X6
LOC109504592,5.346175845,-0.491794347,0.00076448,0.00496343,uncharacterized protein LOC109504592
LOC105189098,1.907366801,2.355017636,0.00076676,0.004975685,ATP-binding cassette sub-family G member 5
LOC105188792,2.69322779,0.526841383,0.000767816,0.004979979,discoidin domain-containing receptor 2
LOC105182539,1.189903049,4.76626876,0.000771638,0.004997948,pleckstrin homology domain-containing family F member 2 isoform X1
LOC105190800,1.348012674,9.861947337,0.000771757,0.004997948,S-adenosylmethionine synthase isoform X1
LOC105189125,1.492350865,4.05459951,0.000771771,0.004997948,glucose-6-phosphate 1-epimerase isoform X2
LOC105188241,1.484590894,5.226922906,0.000777731,0.005032011,transcriptional coactivator YAP1
LOC112589834,1.28354406,4.983176315,0.000777826,0.005032011,serine/threonine-protein phosphatase 2B catalytic subunit 2-like
LOC105191576,1.343207451,4.151635964,0.000781356,0.005052261,LON peptidase N-terminal domain and RING finger protein 3 isoform X1
LOC105187600,1.252100244,4.432160565,0.000783036,0.005059527,NECAP-like protein CG9132
LOC105187621,1.803044181,3.7854125,0.000783617,0.005059527,brefeldin A-inhibited guanine nucleotide-exchange protein 3 isoform X5
LOC105192290,2.552863092,1.487920608,0.000783679,0.005059527,histone-lysine N-methyltransferase SETMAR-like
LOC105183470,1.235830149,7.09215301,0.000787448,0.005081265,formin-J isoform X2
LOC105183175,2.565616679,1.516831037,0.000788136,0.005083114,vasorin
LOC105183944,1.188286611,5.181567126,0.000789031,0.005084236,insulin receptor isoform X2
LOC105187978,1.128911768,4.934467959,0.000789113,0.005084236,GPI transamidase component PIG-S
LOC112589152,3.292707074,0.266504369,0.000790293,0.005089242,cytochrome P450 9e2-like
LOC105180897,1.34555834,5.567844991,0.000790934,0.005090785,V-type proton ATPase 116 kDa subunit a
LOC105185254,3.58055578,0.78171486,0.00079246,0.005098014,lutropin-choriogonadotropic hormone receptor isoform X1
LOC105191761,1.211103337,5.501413151,0.000794598,0.005109168,calcineurin-binding protein cabin-1 isoform X2
LOC105192339,1.274271067,3.343959512,0.000795637,0.005110918,nucleoporin SEH1 isoform X2
LOC105180533,1.481900753,6.598001639,0.000795678,0.005110918,probable serine incorporator isoform X5
LOC105191712,1.243384788,7.726451563,0.000797068,0.005117252,putative transcription factor capicua isoform X1
LOC105189594,2.234559483,2.406361433,0.000799694,0.005131503,uncharacterized protein LOC105189594 isoform X1
LOC105187562,1.313629185,6.369278491,0.000800517,0.00513418,uncharacterized protein LOC105187562 isoform X1
LOC105185468,1.255798873,4.279769089,0.000806958,0.005172869,DNA-directed RNA polymerase III subunit RPC5
LOC105192051,2.749807934,8.775176906,0.000808057,0.005177296,myosin regulatory light chain 2
LOC105183264,1.164676379,5.39589673,0.000811392,0.005196028,E3 ubiquitin-protein ligase KCMF1 isoform X2
LOC105184054,1.298787913,8.39594437,0.00081277,0.005201449,vacuolar protein sorting-associated protein 13 isoform X2
LOC105189864,1.655139187,3.628956751,0.000813213,0.005201449,trichohyalin
LOC105188619,1.477576095,3.017157203,0.000813471,0.005201449,protein dachsous
LOC105182076,1.203277738,4.005696872,0.00081483,0.005207507,required for meiotic nuclear division protein 1 homolog
LOC105181163,1.523446011,3.332022537,0.00081673,0.005212765,transmembrane channel-like protein 7 isoform X1
LOC105189865,2.078480124,1.587458736,0.000816763,0.005212765,protein disabled isoform X1
LOC105184906,1.155636301,5.161674599,0.000817025,0.005212765,nuclear pore complex protein Nup214 isoform X2
LOC105189873,2.225074026,7.214579921,0.000817301,0.005212765,troponin C isoform X1
LOC105184404,1.288168983,5.184023916,0.000821482,0.005236795,transmembrane and coiled-coil domains protein 2 isoform X7
LOC105182606,1.609254076,5.746657948,0.000822417,0.005240113,probable serine/threonine-protein kinase yakA isoform X1
LOC105182123,2.128554173,2.539865398,0.000826945,0.005266311,disintegrin and metalloproteinase domain-containing protein 9 isoform X5
LOC105184960,2.873373094,1.28251784,0.000827969,0.005270183,pikachurin
LOC105186810,1.251540998,5.628159474,0.000829601,0.005277914,uncharacterized protein LOC105186810 isoform X1
LOC105184649,1.474726383,3.850308417,0.000833304,0.00529881,pyridoxal kinase isoform X1
LOC105192416,1.419273209,5.633154694,0.000833977,0.005300423,nuclear factor NF-kappa-B p100 subunit isoform X1
LOC105180910,1.241082536,5.850357309,0.000836815,0.005315792,ubiquitin thioesterase trabid
LOC105185743,2.160474158,5.874684276,0.000837499,0.005317469,protein 5NUC
LOC105191296,-6.542335929,0.08800239,0.000839039,0.005324575,uncharacterized protein LOC105191296
LOC105185654,1.217593665,5.286309687,0.000841851,0.005338645,LOW QUALITY PROTEIN: importin subunit beta-1
LOC105184546,1.637313301,8.005838217,0.000842666,0.005338645,phosphatidate phosphatase LPIN3 isoform X3
LOC105190863,-4.847680029,0.831315735,0.000842794,0.005338645,uncharacterized protein LOC105190863 isoform X1
LOC105182692,2.808805564,0.964960079,0.000842944,0.005338645,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase"
LOC105185875,1.319241005,3.79040645,0.000843985,0.005340353,uncharacterized protein CG1161
LOC105184401,1.271505871,8.047001644,0.000844104,0.005340353,protein PRRC2C isoform X2
LOC105191523,3.581770052,1.487047565,0.00084448,0.005340353,"peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme"
LOC105191562,1.278467523,3.927434927,0.000849167,0.005364748,UDP-glucose 6-dehydrogenase
LOC105187464,3.527691785,4.000845191,0.000849185,0.005364748,scavenger receptor class B member 1
LOC105183293,1.231651248,7.0742205,0.000850352,0.005367586,forkhead box protein O
LOC105192301,1.189351006,4.598313821,0.000850483,0.005367586,polycomb protein Asx isoform X1
LOC105181958,1.308552771,4.120388692,0.000852141,0.005375373,splicing factor 3B subunit 4
LOC105182899,1.217748049,7.787953759,0.00085478,0.005389334,protein alan shepard isoform X1
LOC112588612,1.584685475,2.682874615,0.000859089,0.005413798,probable serine/threonine-protein kinase cdc7
LOC105191117,1.260084391,3.677861345,0.000859687,0.005414876,"4-hydroxybenzoate polyprenyltransferase, mitochondrial isoform X1"
LOC105189566,1.760855106,4.342599447,0.000860167,0.005415198,uncharacterized protein LOC105189566
LOC105186563,1.236747641,3.893922726,0.000861701,0.005422161,cyclin-dependent-like kinase 5
LOC105189408,1.267251189,5.713555788,0.000864184,0.005435082,cyclin-T isoform X4
LOC105181320,4.171351328,1.200170376,0.000867405,0.005452632,uncharacterized protein LOC105181320
LOC105182357,2.508676675,3.986802271,0.000875238,0.005499136,monocarboxylate transporter 9 isoform X1
LOC105185841,1.153446183,5.029132703,0.000877627,0.005511413,reticulocalbin-2
LOC105185484,1.219169754,6.179699516,0.00087958,0.005520932,DAZ-associated protein 2 isoform X2
LOC105188893,1.216033677,6.461596671,0.000880943,0.005526746,uncharacterized protein LOC105188893 isoform X1
LOC105182195,1.235698553,6.688756661,0.000885401,0.005551793,arf-GAP domain and FG repeat-containing protein 1 isoform X1
LOC112588057,4.937562191,1.630220699,0.000886208,0.005551793,acyl-CoA Delta(11) desaturase-like
LOC105187148,1.121333549,5.375038779,0.000886251,0.005551793,exocyst complex component 7 isoform X1
LOC105190933,1.723354623,2.489651151,0.000887396,0.005555279,kinesin-like protein KIF3B
LOC105182005,1.346208565,6.447095002,0.000887686,0.005555279,bumetanide-sensitive sodium-(potassium)-chloride cotransporter
LOC105190663,2.170478055,2.068618072,0.000890421,0.00556964,ETS translocation variant 1
LOC105189473,2.551885826,8.334554373,0.000891027,0.00557068,muscle-specific protein 20
LOC105188277,1.234461361,6.262409849,0.000892177,0.005574568,uncharacterized protein LOC105188277 isoform X2
LOC105187409,1.133501145,4.761638793,0.000892834,0.005574568,solute carrier family 25 member 35 isoform X1
LOC105187710,1.352322404,4.776330352,0.000892971,0.005574568,polypeptide N-acetylgalactosaminyltransferase 35A isoform X1
LOC105187144,1.758001351,3.007353485,0.000895084,0.005583497,protein singed
LOC105192015,2.870044392,-0.014683774,0.000895283,0.005583497,putative zinc metalloproteinase YIL108W
LOC105189341,1.132017767,4.914084593,0.000898617,0.005601528,uncharacterized protein LOC105189341
LOC105180664,1.234412091,4.449227451,0.000900391,0.00560982,pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16
LOC105182630,1.170420482,6.039566132,0.000904418,0.005632136,uncharacterized protein LOC105182630 isoform X1
LOC105189657,1.218239931,7.174198291,0.000905946,0.005638882,NADH dehydrogenase
LOC105184271,1.507720742,5.057930592,0.000909835,0.005660302,"methionine--tRNA ligase, cytoplasmic"
LOC105183495,1.498601768,3.568924916,0.000913449,0.005679554,cathepsin O
LOC105181849,2.012265735,1.307461113,0.000913827,0.005679554,CB1 cannabinoid receptor-interacting protein 1 isoform X1
LOC105187006,1.236591687,6.464285166,0.000914583,0.005681461,proteoglycan 4 isoform X3
LOC105184186,2.470206041,0.974847317,0.000916723,0.005691958,A disintegrin and metalloproteinase with thrombospondin motifs 7
LOC105185427,1.259494606,7.090439045,0.000918013,0.005697172,protein-L-isoaspartate O-methyltransferase domain-containing protein 1
LOC105187707,1.516324145,5.850670727,0.000918851,0.005699581,histidine-rich glycoprotein-like
LOC105185343,1.497606575,2.712696704,0.000919369,0.0057,uncharacterized protein LOC105185343
LOC105183358,1.316967776,3.419480689,0.000921243,0.005708818,uncharacterized protein LOC105183358
LOC105191715,1.951584954,5.724764967,0.000923593,0.00572058,PDZ and LIM domain protein 3 isoform X6
LOC105192154,2.541148341,0.231778829,0.000927051,0.005736332,protein PTHB1
LOC105182267,1.233718769,4.208825194,0.00092732,0.005736332,"beta-1,3-galactosyltransferase 1 isoform X2"
LOC105181070,1.350544294,8.195574473,0.000927496,0.005736332,inactive hydroxysteroid dehydrogenase-like protein 1
LOC105189057,1.138000332,3.947174101,0.000929679,0.005744899,probable RNA polymerase II nuclear localization protein SLC7A6OS
LOC105183849,1.217095163,4.889900087,0.000929789,0.005744899,uncharacterized protein C20orf24 homolog
LOC105184132,1.308179272,3.367315271,0.000931363,0.005751812,BTB/POZ domain-containing protein KCTD20 isoform X1
LOC105181812,1.985757585,3.723149687,0.000932199,0.005754168,muscle-specific protein 20
LOC105190565,1.243743355,4.671096131,0.000933683,0.005760521,mitochondrial import receptor subunit TOM70
LOC105190613,1.274994918,6.270176195,0.000937469,0.00578106,CUGBP Elav-like family member 2 isoform X1
LOC105192183,1.162508849,5.431278403,0.000938415,0.005781515,cyclin-dependent kinase 14 isoform X2
LOC105188397,1.635766223,1.969755851,0.000938457,0.005781515,coiled-coil domain-containing protein 134
LOC105181159,1.15553953,5.66519868,0.000939638,0.005785977,cytochrome b-c1 complex subunit 8
LOC105186039,2.344822043,1.208253568,0.000941889,0.005794912,FMRFamide receptor
LOC105188947,1.154219857,4.705895631,0.000942005,0.005794912,protein RFT1 homolog isoform X1
LOC105188399,1.343989439,3.35697056,0.000943029,0.005798392,uncharacterized protein LOC105188399
LOC105191728,1.323435423,6.600848352,0.000946074,0.005814291,TOM1-like protein 2 isoform X3
LOC105184896,1.330391898,6.186614644,0.000946636,0.005814921,ER membrane protein complex subunit 1 isoform X1
LOC105185943,1.3278831,7.578929752,0.000947754,0.005818251,tyrosine-protein phosphatase Lar isoform X6
LOC105189307,1.402183973,2.800536299,0.000948098,0.005818251,protein bric-a-brac 2 isoform X1
LOC105188888,2.012896146,2.004038244,0.000950398,0.005829538,homeobox protein abdominal-A homolog isoform X2
LOC105181122,1.140929272,4.348938569,0.00095121,0.005831691,condensin-2 complex subunit D3 isoform X1
LOC105180747,1.497741455,6.226461708,0.00095198,0.005833584,protein numb isoform X2
LOC105183296,2.772690026,0.636250945,0.000957599,0.005862665,uncharacterized protein LOC105183296
LOC105190868,2.203354991,1.045036959,0.000957887,0.005862665,diacylglycerol kinase theta isoform X1
LOC105192127,1.206286605,5.459480345,0.000958115,0.005862665,cytochrome c oxidase subunit NDUFA4
LOC105192267,2.436450556,2.578270795,0.000961176,0.005877038,transcription factor AP-2-epsilon isoform X2
LOC105190401,1.170101756,4.389531842,0.000961393,0.005877038,alsin
LOC105191841,2.029280562,2.821159918,0.000962448,0.005879348,aquaporin AQPAn.G isoform X1
LOC105181924,3.946506235,-0.202250242,0.0009627,0.005879348,uncharacterized protein LOC105181924
LOC105181057,1.298385322,7.110075704,0.000967877,0.00590811,uncharacterized protein LOC105181057 isoform X5
LOC105188473,1.199372267,3.973232517,0.000970193,0.005919394,tyrosine-protein kinase Fer isoform X1
LOC105188778,1.27433566,7.178088351,0.000971135,0.005922285,putative mediator of RNA polymerase II transcription subunit 26
LOC105182036,2.068807304,1.450209319,0.000973748,0.005934932,lisH domain-containing protein C1711.05-like
LOC105184713,1.132000397,5.01300028,0.000974147,0.005934932,multidrug resistance-associated protein 5 isoform X4
LOC105187650,1.373873484,3.890745684,0.000977544,0.005950883,uncharacterized protein LOC105187650 isoform X1
LOC105184650,1.14924558,4.643857712,0.000977706,0.005950883,DNA-directed RNA polymerase III subunit RPC2
LOC105192048,1.267939712,6.651299904,0.000981379,0.005970369,putative U5 small nuclear ribonucleoprotein 200 kDa helicase
LOC105192582,1.194874723,4.385420984,0.000982495,0.005974286,uncharacterized protein LOC105192582 isoform X4
LOC105188042,1.35390407,5.718113747,0.000984121,0.0059813,tropomodulin isoform X3
LOC105190560,1.177527518,6.236766336,0.000991336,0.006020487,ubiquitin-conjugating enzyme E2 H isoform X2
LOC105182728,1.210722591,5.997458584,0.000991646,0.006020487,dynactin subunit 1 isoform X5
LOC105192167,1.348786338,5.048451919,0.000991996,0.006020487,uncharacterized protein LOC105192167
LOC105185306,1.791839087,8.081355324,0.000994604,0.006032107,uncharacterized protein LOC105185306
LOC105181060,1.179766102,6.12310923,0.000994864,0.006032107,uncharacterized protein LOC105181060
LOC105183575,1.204107895,6.538747497,0.000996127,0.006036813,"selenide, water dikinase"
LOC105188070,2.12014645,1.770118207,0.000997026,0.006036813,tetraspanin-9 isoform X2
