Protein	GO.term
LOC105181885.15.p1	GO:1902904
LOC105181885.15.p1	GO:0007608
LOC105181885.15.p1	GO:0014823
LOC105181885.15.p1	GO:0090063
LOC105181885.15.p1	GO:0097201
LOC105181885.15.p1	GO:0031397
LOC105181885.15.p1	GO:2001240
LOC105181885.15.p1	GO:0006986
LOC105181885.15.p1	GO:1904592
LOC105181885.15.p1	GO:0045648
LOC105181885.15.p1	GO:1902236
LOC105181885.15.p1	GO:0046777
LOC105181885.15.p1	GO:0000082
LOC105181885.15.p1	GO:0032757
LOC105181885.15.p1	GO:0048026
LOC105181885.17.p1	GO:0034613
LOC105181885.17.p1	GO:0032268
LOC105181885.17.p1	GO:0006457
LOC105181885.17.p1	GO:0008150
LOC105181885.17.p1	GO:0070727
LOC105181885.17.p1	GO:0006886
LOC105181885.17.p1	GO:0008152
LOC105181885.17.p1	GO:0016192
LOC105181885.17.p1	GO:0009987
LOC105181885.17.p1	GO:0016191
LOC105181885.17.p1	GO:0090084
LOC105181885.17.p1	GO:0070434
LOC105181885.17.p1	GO:0044788
LOC105181885.17.p1	GO:1903265
LOC105181885.17.p1	GO:1990832
LOC105181885.17.p1	GO:0008088
LOC105181885.17.p1	GO:0051085
LOC105181885.17.p1	GO:0043312
LOC105181885.17.p1	GO:0043488
LOC105181885.17.p1	GO:0061738
LOC105181885.17.p1	GO:0001916
LOC105181885.17.p1	GO:0030900
LOC105181885.17.p1	GO:0061684
LOC105181885.17.p1	GO:0090063
LOC105181885.17.p1	GO:1903842
LOC105181885.17.p1	GO:0097214
LOC105181885.17.p1	GO:0042026
LOC105181885.17.p1	GO:0044829
LOC105181885.17.p1	GO:0032436
LOC105181885.17.p1	GO:0061635
LOC105181885.17.p1	GO:0045892
LOC105181885.17.p1	GO:0034620
LOC105181885.17.p1	GO:1990834
LOC105181885.17.p1	GO:1902904
LOC105181885.17.p1	GO:0007608
LOC105181885.17.p1	GO:0006986
LOC105181885.17.p1	GO:0014823
LOC105181885.17.p1	GO:0097201
LOC105181885.17.p1	GO:0031397
LOC105181885.17.p1	GO:2001240
LOC105181885.17.p1	GO:1901673
LOC105181885.17.p1	GO:1904592
LOC105181885.17.p1	GO:0045648
LOC105181885.17.p1	GO:1902236
LOC105181885.17.p1	GO:0008285
LOC105181885.17.p1	GO:0046777
LOC105181885.17.p1	GO:0000082
LOC105181885.17.p1	GO:0032757
LOC105181885.17.p1	GO:0048026
LOC105181885	GO:0007411
LOC105181885	GO:0007269
LOC105181885	GO:0032355
LOC105181885	GO:1900034
LOC105181885	GO:0030512
LOC105181885	GO:0009267
LOC105181885	GO:0048260
LOC105181885	GO:0045471
LOC105181885	GO:1901029
LOC105181885.26.p1	GO:0034613
LOC105181885.26.p1	GO:0032268
LOC105181885.26.p1	GO:0006457
LOC105181885.26.p1	GO:0008150
LOC105181885.26.p1	GO:0070727
LOC105181885.26.p1	GO:0006886
LOC105181885.26.p1	GO:0008152
LOC105181885.26.p1	GO:0016192
LOC105181885.26.p1	GO:0009987
LOC105181885.26.p1	GO:0016191
LOC105181885.26.p1	GO:0090084
LOC105181885.26.p1	GO:0070434
LOC105181885.26.p1	GO:0044788
LOC105181885.26.p1	GO:1903265
LOC105181885.26.p1	GO:1990832
LOC105181885.26.p1	GO:0008088
LOC105181885.26.p1	GO:0051085
LOC105181885.26.p1	GO:0043312
LOC105181885.26.p1	GO:0043488
LOC105181885.26.p1	GO:0061738
LOC105181885.26.p1	GO:0001916
LOC105181885.26.p1	GO:0030900
LOC105181885.26.p1	GO:0061684
LOC105181885.26.p1	GO:0090063
LOC105181885.26.p1	GO:1903842
LOC105181885.26.p1	GO:0097214
LOC105181885.26.p1	GO:0042026
LOC105181885.26.p1	GO:0044829
LOC105181885.26.p1	GO:0032436
LOC105181885.26.p1	GO:0061635
LOC105181885.26.p1	GO:0045892
LOC105181885.26.p1	GO:0034620
LOC105181885.26.p1	GO:1990834
LOC105181885.26.p1	GO:1902904
LOC105181885.26.p1	GO:0007608
LOC105181885.26.p1	GO:0006986
LOC105181885.26.p1	GO:0014823
LOC105181885.26.p1	GO:0097201
LOC105181885.26.p1	GO:0031397
LOC105181885.26.p1	GO:2001240
LOC105181885.26.p1	GO:1901673
LOC105181885.26.p1	GO:1904592
LOC105181885.26.p1	GO:0045648
LOC105181885.26.p1	GO:1902236
LOC105181885.26.p1	GO:0008285
LOC105181885.26.p1	GO:0046777
LOC105181885.26.p1	GO:0000082
LOC105181885.26.p1	GO:0032757
LOC105181885.26.p1	GO:0048026
LOC105181885.27.p1	GO:0032268
LOC105181885.27.p1	GO:0006886
LOC105181885.27.p1	GO:0070727
LOC105181885.27.p1	GO:0008152
LOC105181885.27.p1	GO:0009987
LOC105181885.27.p1	GO:0016192
LOC105181885.27.p1	GO:0008150
LOC105181885.27.p1	GO:0006457
LOC105181885.27.p1	GO:0034613
LOC105181885.27.p1	GO:0016191
LOC105181885.27.p1	GO:0032570
LOC105181885.27.p1	GO:0090084
LOC105181885.27.p1	GO:0070434
LOC105181885.27.p1	GO:0044788
LOC105181885.27.p1	GO:1901673
LOC105181885.27.p1	GO:1903265
LOC105181885.27.p1	GO:0050766
LOC105181885.27.p1	GO:1990832
LOC105181885.27.p1	GO:0008088
LOC105181885.27.p1	GO:0051085
LOC105181885.27.p1	GO:0043312
LOC105181885.27.p1	GO:0061738
LOC105181885.27.p1	GO:0001916
LOC105181885.27.p1	GO:0042026
LOC105181885.27.p1	GO:0030900
LOC105181885.27.p1	GO:0061684
LOC105181885.27.p1	GO:1903842
LOC105181885.27.p1	GO:0097214
LOC105181885.27.p1	GO:0044829
LOC105181885.27.p1	GO:0032436
LOC105181885.27.p1	GO:0061635
LOC105181885.27.p1	GO:0045892
LOC105181885.27.p1	GO:0034620
LOC105181885.27.p1	GO:1990834
LOC105181885.27.p1	GO:1902904
LOC105181885.27.p1	GO:0007608
LOC105181885.27.p1	GO:0014823
LOC105181885.27.p1	GO:0090063
LOC105181885.27.p1	GO:0097201
LOC105181885.27.p1	GO:0031397
LOC105181885.27.p1	GO:2001240
LOC105181885.27.p1	GO:0006986
LOC105181885.27.p1	GO:1904592
LOC105181885.27.p1	GO:0045648
LOC105181885.27.p1	GO:1902236
LOC105181885.27.p1	GO:0046777
LOC105181885.27.p1	GO:0000082
LOC105181885.27.p1	GO:0032757
LOC105181885.27.p1	GO:0048026
LOC105181885.6.p1	GO:0034613
LOC105181885.6.p1	GO:0032268
LOC105181885.6.p1	GO:0006457
LOC105181885.6.p1	GO:0008150
LOC105181885.6.p1	GO:0070727
LOC105181885.6.p1	GO:0006886
LOC105181885.6.p1	GO:0008152
LOC105181885.6.p1	GO:0016192
LOC105181885.6.p1	GO:0009987
LOC105181885.6.p1	GO:0016191
LOC105181885.6.p1	GO:0090084
LOC105181885.6.p1	GO:0070434
LOC105181885.6.p1	GO:0044788
LOC105181885.6.p1	GO:1903265
LOC105181885.6.p1	GO:1990832
LOC105181885.6.p1	GO:0008088
LOC105181885.6.p1	GO:0051085
LOC105181885.6.p1	GO:0043312
LOC105181885.6.p1	GO:0043488
LOC105181885.6.p1	GO:0061738
LOC105181885.6.p1	GO:0001916
LOC105181885.6.p1	GO:0030900
LOC105181885.6.p1	GO:0061684
LOC105181885.6.p1	GO:0090063
LOC105181885.6.p1	GO:1903842
LOC105181885.6.p1	GO:0097214
LOC105181885.6.p1	GO:0042026
LOC105181885.6.p1	GO:0044829
LOC105181885.6.p1	GO:0032436
LOC105181885.6.p1	GO:0061635
LOC105181885.6.p1	GO:0045892
LOC105181885.6.p1	GO:0034620
LOC105181885.6.p1	GO:1990834
LOC105181885.6.p1	GO:1902904
LOC105181885.6.p1	GO:0007608
LOC105181885.6.p1	GO:0006986
LOC105181885.6.p1	GO:0014823
LOC105181885.6.p1	GO:0097201
LOC105181885.6.p1	GO:0031397
LOC105181885.6.p1	GO:2001240
LOC105181885.6.p1	GO:1901673
LOC105181885.6.p1	GO:1904592
LOC105181885.6.p1	GO:0045648
LOC105181885.6.p1	GO:1902236
LOC105181885.6.p1	GO:0008285
LOC105181885.6.p1	GO:0046777
LOC105181885.6.p1	GO:0000082
LOC105181885.6.p1	GO:0032757
LOC105181885.6.p1	GO:0048026
LOC105181885	GO:0044849
LOC105181885	GO:0009792
LOC105181885	GO:0045666
LOC105181885	GO:0007519
LOC105181885	GO:0030707
LOC105181885	GO:0070370
LOC105181885	GO:0031647
LOC105181885	GO:0007041
LOC105181885	GO:0021549
LOC105181885	GO:0046034
LOC105181885	GO:0050821
LOC105181885	GO:0051092
LOC105181885	GO:0007339
LOC105181885	GO:1902380
LOC105181885	GO:0043170
LOC105181885	GO:0030308
LOC105181885	GO:0034605
LOC105181885	GO:0070868
LOC105181885	GO:0002931
LOC105181885	GO:1904589
LOC105181885	GO:0010045
LOC105181885	GO:0006606
LOC105181886.1.p1	GO:2000112
LOC105181886.1.p1	GO:0051171
LOC105181886.1.p1	GO:0019219
LOC105181886.1.p1	GO:0051173
LOC105181886.1.p1	GO:0051254
LOC105181886.1.p1	GO:0043170
LOC105181886.1.p1	GO:0031326
LOC105181886.1.p1	GO:0010556
LOC105181886.1.p1	GO:0008152
LOC105181886.1.p1	GO:0008150
LOC105181886	GO:0008150
LOC105181886	GO:0008152
LOC105181886	GO:0009987
LOC105181886	GO:0031643
LOC105181886.7.p1	GO:0009987
LOC105181886.7.p1	GO:0010467
LOC105181886.7.p1	GO:0008150
LOC105181886.7.p1	GO:0008152
LOC105181886.7.p1	GO:0031643
LOC105181886	GO:0043170
LOC105181887	GO:0008150
LOC105181887	GO:0009987
LOC105181888	GO:0009987
LOC105181888	GO:0008152
LOC105181888	GO:0008150
LOC105181889	GO:0008150
LOC105181889	GO:0009987
LOC105181889	GO:0071277
LOC105181889	GO:0071732
LOC105181889	GO:0050667
LOC105181889	GO:0072340
LOC105181889	GO:0043154
LOC105181889	GO:0006954
LOC105181889	GO:0006691
LOC105181889	GO:0006751
LOC105181889	GO:0030336
LOC105181889.2.p1	GO:0009987
LOC105181889.2.p1	GO:0008152
LOC105181889.2.p1	GO:0043170
LOC105181889.2.p1	GO:0008150
LOC105181889.2.p1	GO:0071277
LOC105181889.2.p1	GO:0071732
LOC105181889.2.p1	GO:0030593
LOC105181889.2.p1	GO:0006691
LOC105181889.2.p1	GO:0006954
LOC105181889.2.p1	GO:0043154
LOC105181889.4.p1	GO:0008150
LOC105181889.5.p2	GO:0008150
LOC105181889.7.p1	GO:0008150
LOC105181889.8.p1	GO:0008150
LOC105181889.8.p1	GO:0009987
LOC105181889.8.p1	GO:0071277
LOC105181889.8.p1	GO:0071732
LOC105181889.8.p1	GO:0050667
LOC105181889.8.p1	GO:0072340
LOC105181889.8.p1	GO:0043154
LOC105181889.8.p1	GO:0006954
LOC105181889.8.p1	GO:0006691
LOC105181889.8.p1	GO:0006751
LOC105181889.8.p1	GO:0030336
LOC105181890	GO:0008152
LOC105181890	GO:0009987
LOC105181890	GO:0008150
LOC105181891	GO:0008150
LOC105181891	GO:0008152
LOC105181891	GO:0009987
LOC105181891	GO:0090399
LOC105181891	GO:0010815
LOC105181891	GO:0071493
LOC105181891	GO:0010613
LOC105181891	GO:0001921
LOC105181891	GO:0016486
LOC105181891	GO:0010816
LOC105181891	GO:0010814
LOC105181891	GO:0046449
LOC105181891	GO:0019233
LOC105181891	GO:0050435
LOC105181891	GO:0035994
LOC105181891	GO:0097242
LOC105181891	GO:0071492
LOC105181891	GO:0045745
LOC105181891	GO:1900273
LOC105181891.2.p1	GO:0043170
LOC105181891.2.p1	GO:0009987
LOC105181891.2.p1	GO:0008150
LOC105181891.2.p1	GO:0010613
LOC105181891.2.p1	GO:0097242
LOC105181891.2.p1	GO:0010814
LOC105181891.2.p1	GO:0010815
LOC105181891.2.p1	GO:0010816
LOC105181891.2.p1	GO:0035994
LOC105181891.2.p1	GO:0071492
LOC105181891.2.p1	GO:0071493
LOC105181891.2.p1	GO:0019233
LOC105181891.2.p1	GO:0050435
LOC105181891.2.p1	GO:0045745
LOC105181891.2.p1	GO:0046449
LOC105181892	GO:0008150
LOC105181892	GO:0008152
LOC105181892	GO:0009987
LOC105181892.7.p1	GO:0008150
LOC105181892.7.p1	GO:0008152
LOC105181892.7.p1	GO:0009987
LOC105181893	GO:0008150
LOC105181893	GO:0009987
LOC105181893	GO:0008152
LOC105181895.1.p1	GO:0008150
LOC105181895.1.p1	GO:0006751
LOC105181895.1.p1	GO:0008152
LOC105181895.1.p1	GO:1901750
LOC105181895.1.p1	GO:0031179
LOC105181895.2.p1	GO:0008150
LOC105181895.2.p1	GO:0006751
LOC105181895.2.p1	GO:0008152
LOC105181895.2.p1	GO:1901750
LOC105181895.2.p1	GO:0031179
LOC105181897	GO:0008152
LOC105181897	GO:0008150
LOC105181897	GO:0009987
LOC105181897	GO:0016192
LOC105181899	GO:0070727
LOC105181899	GO:0030433
LOC105181899	GO:0034613
LOC105181899	GO:0008152
LOC105181899	GO:0051716
LOC105181899	GO:0043170
LOC105181899	GO:0006886
LOC105181899	GO:0009987
LOC105181899	GO:0008150
LOC105181899	GO:0070647
LOC105181899	GO:0032446
LOC105181900	GO:1903047
LOC105181900	GO:0044772
LOC105181900	GO:0000226
LOC105181900	GO:0000278
LOC105181900	GO:0007017
LOC105181900	GO:0008150
LOC105181900	GO:0009987
LOC105181900	GO:0051301
LOC105181900	GO:0032418
LOC105181900	GO:0071353
LOC105181900.11.p1	GO:0000226
LOC105181900.11.p1	GO:0000278
LOC105181900.11.p1	GO:1903047
LOC105181900.11.p1	GO:0009987
LOC105181900.11.p1	GO:0044772
LOC105181900.11.p1	GO:0008150
LOC105181900.11.p1	GO:0051301
LOC105181900.11.p1	GO:0032418
LOC105181900.11.p1	GO:0071353
LOC105181900	GO:0000070
LOC105181900	GO:0050807
LOC105181900	GO:0010389
LOC105181900.9.p1	GO:0000226
LOC105181900.9.p1	GO:0044772
LOC105181900.9.p1	GO:0008150
LOC105181900.9.p1	GO:0009987
LOC105181900.9.p1	GO:0051301
LOC105181900.9.p1	GO:0007017
LOC105181900.9.p1	GO:0000278
LOC105181900.9.p1	GO:1903047
LOC105181900.9.p1	GO:0032418
LOC105181900.9.p1	GO:0071353
LOC105181901	GO:0009987
LOC105181901	GO:0008150
LOC105181901	GO:0045807
LOC105181901	GO:0032092
LOC105181901	GO:0007294
LOC105181901	GO:0000212
LOC105181901	GO:0051016
LOC105181901	GO:0020027
LOC105181901	GO:0045766
LOC105181901	GO:1903142
LOC105181901	GO:0051017
LOC105181901	GO:1903393
LOC105181901	GO:0030724
LOC105181901	GO:0050901
LOC105181901	GO:0007282
LOC105181901	GO:2000249
LOC105181901	GO:0097120
LOC105181901	GO:0008302
LOC105181901	GO:0008152
LOC105181901	GO:0006884
LOC105181901	GO:0045214
LOC105181901	GO:0035264
LOC105181902	GO:0009987
LOC105181902	GO:0008152
LOC105181902	GO:0008150
LOC105181902	GO:0048015
LOC105181902	GO:0046786
LOC105181902	GO:0009860
LOC105181902	GO:0000422
LOC105181902	GO:0030866
LOC105181904	GO:0009987
LOC105181904	GO:0008150
LOC105181904	GO:0008152
LOC105181904	GO:0043181
LOC105181904	GO:0003007
LOC105181904	GO:0042594
LOC105181904	GO:0050884
LOC105181904	GO:0050885
LOC105181904	GO:0046716
LOC105181904	GO:0046686
LOC105181904	GO:0043312
LOC105181904	GO:0033189
LOC105181904	GO:0002086
LOC105181904	GO:0060048
LOC105181904	GO:0009744
LOC105181904	GO:0007040
LOC105181904	GO:0002026
LOC105181904	GO:0032868
LOC105181904	GO:0044245
LOC105181906	GO:0008150
LOC105181906	GO:0009987
LOC105181906	GO:0008152
LOC105181907	GO:0009987
LOC105181907	GO:0008152
LOC105181907	GO:0042325
LOC105181907	GO:0008150
LOC105181907	GO:0032268
LOC105181907	GO:1900241
LOC105181907	GO:1900445
LOC105181907	GO:1900433
LOC105181907	GO:0036166
LOC105181907	GO:1900439
LOC105181907	GO:0043709
LOC105181908	GO:0008150
LOC105181909	GO:0008152
LOC105181909	GO:0043170
LOC105181909	GO:0010629
LOC105181909	GO:0008150
LOC105181909	GO:0019439
LOC105181909	GO:0009987
LOC105181913	GO:0008150
LOC105181913	GO:0019432
LOC105181913	GO:0009987
LOC105181913	GO:0008152
LOC105181913	GO:0006651
LOC105181913	GO:0042632
LOC105181913	GO:0019915
LOC105181913	GO:0055089
LOC105181913	GO:0071400
LOC105181913	GO:0010025
LOC105181918	GO:0008152
LOC105181918	GO:0009987
LOC105181918	GO:0008150
LOC105181918	GO:0032729
LOC105181918	GO:1901844
LOC105181918	GO:0007615
LOC105181918	GO:0030593
LOC105181918	GO:0033137
LOC105181918	GO:1901898
LOC105181918	GO:0040040
LOC105181918	GO:0001780
LOC105181918	GO:0071222
LOC105181918	GO:0060314
LOC105181918	GO:1901841
LOC105181918	GO:0043951
LOC105181918	GO:0010469
LOC105181918	GO:0010738
LOC105181918	GO:0050804
LOC105181918	GO:0010880
LOC105181918	GO:1903206
LOC105181918	GO:0071364
LOC105181921	GO:0008150
LOC105181921	GO:0009987
LOC105181927	GO:0008150
LOC105181928	GO:0008150
LOC105181932	GO:0008150
LOC105181933	GO:0008150
LOC105181933	GO:0042246
LOC105181933	GO:0008152
LOC105181933	GO:0009987
LOC105181933	GO:0043170
LOC105181933.7.p1	GO:0008150
LOC105181933.7.p1	GO:0043170
LOC105181933.7.p1	GO:0009987
LOC105181936	GO:0008152
LOC105181936	GO:0008150
LOC105181936	GO:0048731
LOC105181936	GO:0009987
LOC105181936	GO:0032502
LOC105181936	GO:1904469
LOC105181938	GO:0008150
LOC105181938	GO:0016575
LOC105181938	GO:0009987
LOC105181938	GO:0008152
LOC105181938	GO:0010762
LOC105181938	GO:0010971
LOC105181938	GO:0000122
LOC105181938	GO:0045475
LOC105181938	GO:0006333
LOC105181938	GO:0006302
LOC105181938	GO:0032922
LOC105181938	GO:0043153
LOC105181938	GO:0033363
LOC105181938	GO:1902499
LOC105181938	GO:1902679
LOC105181938	GO:1903507
LOC105181938	GO:0043170
LOC105181938	GO:1901796
LOC105181938	GO:0010212
LOC105181939	GO:0043170
LOC105181939	GO:0031326
LOC105181939	GO:1901362
LOC105181939	GO:1903507
LOC105181939	GO:1902679
LOC105181939	GO:0008152
LOC105181939	GO:0009987
LOC105181939	GO:0008150
LOC105181939	GO:0019438
LOC105181939	GO:0030154
LOC105181939	GO:0019219
LOC105181939	GO:0035019
LOC105181939	GO:0032502
LOC105181940	GO:0008150
LOC105181941	GO:0008150
LOC105181942	GO:0009987
LOC105181942	GO:0008152
LOC105181942	GO:0008150
LOC105181942	GO:0030317
LOC105181946	GO:0008150
LOC105181946	GO:0008152
LOC105181946	GO:0009987
LOC105181947	GO:0008150
LOC105181947	GO:0008152
LOC105181947	GO:0009987
LOC105181947	GO:0000122
LOC105181949	GO:0009987
LOC105181949	GO:0008150
LOC105181952	GO:0009987
LOC105181952	GO:0008150
LOC105181952	GO:0051899
LOC105181953	GO:0009987
LOC105181953	GO:0008150
LOC105181953	GO:0006733
LOC105181953	GO:0008152
LOC105181953	GO:0010795
LOC105181954	GO:0009987
LOC105181954	GO:0008150
LOC105181954	GO:0034613
LOC105181954	GO:0006886
LOC105181954	GO:0070727
LOC105181954	GO:0008152
LOC105181954	GO:0000038
LOC105181954	GO:0042391
LOC105181954	GO:0045055
LOC105181954	GO:0016561
LOC105181954	GO:1901094
LOC105181954	GO:0006635
LOC105181954	GO:0021795
LOC105181955	GO:0008150
LOC105181955	GO:0009987
LOC105181956	GO:0008150
LOC105181957	GO:0008150
LOC105181957	GO:0009987
LOC105181957	GO:0016192
LOC105181957	GO:0016197
LOC105181957	GO:0018394
LOC105181957	GO:0032418
LOC105181960	GO:0008150
LOC105181962.3.p1	GO:0008152
LOC105181962.3.p1	GO:0010629
LOC105181962.3.p1	GO:0009987
LOC105181962.3.p1	GO:0019439
LOC105181962.3.p1	GO:0008150
LOC105181962.3.p1	GO:0000290
LOC105181963	GO:0008150
LOC105181963	GO:0043170
LOC105181963	GO:0008152
LOC105181964	GO:0018130
LOC105181964	GO:0009987
LOC105181964	GO:0043170
LOC105181964	GO:1901362
LOC105181964	GO:0008150
LOC105181964	GO:0010467
LOC105181964	GO:0008152
LOC105181965	GO:0009987
LOC105181965	GO:0008150
LOC105181965	GO:0008152
LOC105181965	GO:0018206
LOC105181965	GO:0031365
LOC105181965	GO:0022400
LOC105181965	GO:0007276
LOC105181965	GO:0043170
LOC105181966	GO:0009987
LOC105181966	GO:0008150
LOC105181969	GO:0009987
LOC105181969	GO:0008150
LOC105181970	GO:0008150
LOC105181970	GO:0008152
LOC105181970	GO:0009987
LOC105181972	GO:0009987
LOC105181972	GO:0043170
LOC105181972	GO:0008152
LOC105181972	GO:0008150
LOC105181972	GO:0016054
LOC105181972	GO:0016485
LOC105181973	GO:0008150
LOC105181974	GO:0008150
LOC105181974	GO:0009987
LOC105181978	GO:0098660
LOC105181978	GO:0008150
LOC105181978	GO:0009987
LOC105181978	GO:0006811
LOC105181978	GO:0098655
LOC105181978	GO:0071477
LOC105181978	GO:0051452
LOC105181978	GO:1904450
LOC105181978	GO:0030644
LOC105181978	GO:0045795
LOC105181978	GO:0042493
LOC105181978	GO:0006884
LOC105181978	GO:0070634
LOC105181978	GO:0031283
LOC105181978	GO:0055075
LOC105181978	GO:0040040
LOC105181978	GO:0007214
LOC105181978	GO:0061044
LOC105181978	GO:0007268
LOC105181978	GO:1904464
LOC105181978	GO:1990573
LOC105181978	GO:0032528
LOC105181978	GO:0035264
LOC105181978	GO:0055064
LOC105181978	GO:0055085
LOC105181979	GO:0008152
LOC105181979	GO:0008150
LOC105181981	GO:0008150
LOC105181981	GO:0009987
LOC105181983	GO:0007154
LOC105181983	GO:0048856
LOC105181983	GO:0040011
LOC105181983	GO:0032268
LOC105181983	GO:0030154
LOC105181983	GO:0008152
LOC105181983	GO:0008150
LOC105181983	GO:0042325
LOC105181983	GO:0032502
LOC105181983	GO:0006468
LOC105181983	GO:0043113
LOC105181983	GO:0034333
LOC105181983	GO:1903472
LOC105181983	GO:0048012
LOC105181983	GO:2000573
LOC105181983	GO:0031116
LOC105181983	GO:0010763
LOC105181983	GO:0030010
LOC105181983	GO:0031098
LOC105181983	GO:0043525
LOC105181983	GO:0050770
LOC105181983	GO:0007264
LOC105181983	GO:0007528
LOC105181983	GO:0021764
LOC105181983	GO:0061003
LOC105181983	GO:0042060
LOC105181983	GO:0031295
LOC105181983	GO:0030833
LOC105181983	GO:0050852
LOC105181983	GO:0060244
LOC105181983	GO:0061052
LOC105181983	GO:0043507
LOC105181983	GO:0033138
LOC105181983	GO:0051497
LOC105181983	GO:0007346
LOC105181983	GO:0060997
LOC105181983	GO:2001271
LOC105181983	GO:0007409
LOC105181983	GO:0051496
LOC105181983	GO:0051173
LOC105181983	GO:0009987
LOC105181983	GO:0043410
LOC105181983	GO:0001934
LOC105181983	GO:0048468
LOC105181983	GO:0031401
LOC105181983	GO:0045773
LOC105181983	GO:0021549
LOC105181984	GO:0008152
LOC105181984	GO:0009987
LOC105181984	GO:0008150
LOC105181984	GO:0008407
LOC105181984.5.p4	GO:0043170
LOC105181984.5.p4	GO:0008152
LOC105181984.5.p4	GO:0008150
LOC105181984.5.p4	GO:0009987
LOC105181985	GO:0043170
LOC105181985	GO:0009987
LOC105181985	GO:0008150
LOC105181985	GO:0032879
LOC105181985	GO:0008152
LOC105181985	GO:0016192
LOC105181985	GO:0030154
LOC105181985	GO:0048268
LOC105181985	GO:0031623
LOC105181985	GO:1904006
LOC105181985	GO:0035459
LOC105181985	GO:1900275
LOC105181985	GO:1901216
LOC105181985	GO:0097494
LOC105181985	GO:0016185
LOC105181985	GO:1900244
LOC105181985	GO:1903539
LOC105181985	GO:0051899
LOC105181985	GO:2000009
LOC105181985	GO:1902004
LOC105181985	GO:0048261
LOC105181985	GO:2000331
LOC105181985	GO:0007270
LOC105181985	GO:0090647
LOC105181985	GO:0043547
LOC105181985	GO:1902963
LOC105181985	GO:0007268
LOC105181985	GO:0032989
LOC105181985	GO:2000809
LOC105181992	GO:0008152
LOC105181992	GO:0008150
LOC105181992	GO:0009987
LOC105181992	GO:0007595
LOC105181992	GO:2000379
LOC105181992	GO:0006919
LOC105181992	GO:0045602
LOC105181992	GO:0009851
LOC105181992	GO:0051898
LOC105181992	GO:1900747
LOC105181992	GO:0042554
LOC105181992	GO:0001933
LOC105181992	GO:2001213
LOC105181992	GO:0009115
LOC105181992	GO:0048072
LOC105181992	GO:0006150
LOC105181992	GO:0034418
LOC105181992	GO:1900745
LOC105181992	GO:0009688
LOC105181992	GO:0001937
LOC105181993	GO:0008152
LOC105181993	GO:0009987
LOC105181993	GO:0008150
LOC105181993	GO:1900745
LOC105181993	GO:0008340
LOC105181993	GO:0007595
LOC105181993	GO:0009115
LOC105181993	GO:0042554
LOC105181993	GO:0048072
LOC105181993	GO:0001937
LOC105181993	GO:1900747
LOC105181993	GO:0006150
LOC105181993	GO:2000379
LOC105181993	GO:0034418
LOC105181993	GO:0009851
LOC105181993	GO:2001213
LOC105181993	GO:0006919
LOC105181993	GO:0001933
LOC105181993	GO:0051898
LOC105181993	GO:0045602
LOC105181993	GO:0009688
LOC105181995	GO:0008150
LOC105181995	GO:0008152
LOC105181995	GO:0009987
LOC105181995	GO:0043170
LOC105181997	GO:0008150
LOC105181998	GO:0008150
LOC105181998	GO:0008152
LOC105181998	GO:0009987
LOC105181998	GO:0043170
LOC105181998	GO:0007040
LOC105181998	GO:0048477
LOC105181998	GO:0050884
LOC105181998	GO:0019915
LOC105181998	GO:0006874
LOC105181998	GO:0048667
LOC105181998	GO:0007628
LOC105181998	GO:0050885
LOC105181998	GO:0043615
LOC105181998	GO:0030207
LOC105181998	GO:0006044
LOC105181998	GO:0006689
LOC105181998	GO:0042340
LOC105181998	GO:0019953
LOC105181998	GO:0007341
LOC105181998	GO:0042552
LOC105181999	GO:0008152
LOC105181999	GO:0008150
LOC105181999	GO:0009987
LOC105182000	GO:0008150
LOC105182000	GO:0007252
LOC105182001	GO:0008150
LOC105182001	GO:0008152
LOC105182001	GO:1901617
LOC105182001	GO:0009987
LOC105182003	GO:0009987
LOC105182003	GO:0008150
LOC105182003	GO:0045766
LOC105182004	GO:0009987
LOC105182004	GO:0008150
LOC105182005	GO:0009987
LOC105182005	GO:0008150
LOC105182005	GO:0055075
LOC105182005	GO:0035633
LOC105182005	GO:0070634
LOC105182005	GO:0045795
LOC105182005	GO:0032978
LOC105182005	GO:0071475
LOC105182005	GO:0030644
LOC105182005	GO:0006884
LOC105182005	GO:1904464
LOC105182005	GO:0016101
LOC105182005	GO:0035264
LOC105182005	GO:0006883
LOC105182005	GO:0007214
LOC105182005	GO:0098719
LOC105182005	GO:0030007
LOC105182005	GO:1904450
LOC105182005	GO:0070886
LOC105182005	GO:0061044
LOC105182005	GO:0055064
LOC105182005	GO:1990573
LOC105182005	GO:0035865
LOC105182005	GO:0055078
LOC105182005	GO:0071477
LOC105182005	GO:0007268
LOC105182006	GO:0008150
LOC105182006	GO:0008152
LOC105182006	GO:0009987
LOC105182006	GO:0017014
LOC105182006	GO:0007263
LOC105182006	GO:0000052
LOC105182010	GO:0008150
LOC105182010	GO:0009987
LOC105182015	GO:0010467
LOC105182015	GO:0009987
LOC105182015	GO:0008150
LOC105182015	GO:0043170
LOC105182015	GO:0008152
LOC105182016	GO:0008150
LOC105182016	GO:0009987
LOC105182016	GO:0008152
LOC105182016	GO:0008218
LOC105182016.2.p1	GO:0009987
LOC105182016.2.p1	GO:0008150
LOC105182016.2.p1	GO:0008152
LOC105182016.2.p1	GO:0008218
LOC105182017.10.p1	GO:0008152
LOC105182017.10.p1	GO:0009987
LOC105182017.10.p1	GO:0008150
